activity_id,assay_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,compound_name,canonical_smiles,molecular_weight,alogp,pIC50,standardized_smiles,mol_weight,logp,hbd,hba,rotatable_bonds,heavy_atoms,aromatic_rings,tpsa,query_id,cid,iupac_name,isomeric_smiles,molecular_formula,xlogp,hydrogen_bond_donor_count,hydrogen_bond_acceptor_count,rotatable_bond_count,complexity
27653126.0,CHEMBL5733991,CHEMBL5893212,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)Nc1ccc(Nc2nc(Nc3cncc(OC)c3)ncc2C(F)(F)F)cc1,,,6.259637310505756,C=CC(=O)Nc1ccc(Nc2nc(Nc3cncc(OC)c3)ncc2C(F)(F)F)cc1,430.3900000000001,4.510700000000002,3.0,7.0,7.0,31.0,3.0,101.06,,,,,,,,,,
27653144.0,CHEMBL5733991,CHEMBL5928380,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)N(C)Cc1cccc(Nc2nc(Nc3ccccc3)ncc2C)c1,,,6.259637310505756,C=CC(=O)N(C)Cc1cccc(Nc2nc(Nc3ccccc3)ncc2C)c1,373.4600000000001,4.416620000000003,2.0,5.0,7.0,28.0,3.0,70.15,,,,,,,,,,
27653150.0,CHEMBL5733991,CHEMBL5874947,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)ncc2C(=O)Nc2ccccc2)c1,,,6.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)ncc2C(=O)Nc2ccccc2)c1,450.5020000000001,5.340600000000002,4.0,6.0,8.0,34.0,4.0,108.03999999999999,,,,,,,,,,
27653156.0,CHEMBL5733991,CHEMBL5755010,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,CC(C)=CC(=O)c1cccc(Nc2nc(Nc3cccc(S(N)(=O)=O)c3)ncc2C)c1,,,6.259637310505756,CC(C)=CC(=O)c1cccc(Nc2nc(Nc3cccc(S(N)(=O)=O)c3)ncc2C)c1,437.5250000000002,4.068520000000001,3.0,7.0,7.0,31.0,3.0,127.07000000000001,,,,,,,,,,
27653165.0,CHEMBL5733991,CHEMBL5929629,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)Nc1cc(Nc2nc(Nc3cccc(OC)c3)ncc2C(F)(F)F)ccc1Cl,,,6.259637310505756,C=CC(=O)Nc1cc(Nc2nc(Nc3cccc(OC)c3)ncc2C(F)(F)F)ccc1Cl,463.8470000000001,5.769100000000003,3.0,6.0,7.0,32.0,3.0,88.17,,,,,,,,,,
27653210.0,CHEMBL5733991,CHEMBL5888462,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OC(F)(F)F)c3)ncc2F)c1,,,6.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OC(F)(F)F)c3)ncc2F)c1,433.36500000000007,5.126000000000001,3.0,6.0,7.0,31.0,3.0,88.17,,,,,,,,,,
27653225.0,CHEMBL5733991,CHEMBL6062263,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Cl)c(OCC(C)(C)O)c3)ncc2F)c1,,,6.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Cl)c(OCC(C)(C)O)c3)ncc2F)c1,471.9200000000002,5.0305000000000035,4.0,7.0,9.0,33.0,3.0,108.4,,,,,,,,,,
27653243.0,CHEMBL5733991,CHEMBL5997917,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Cl)c(OCCOC)c3)ncc2F)c1,,,6.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Cl)c(OCCOC)c3)ncc2F)c1,457.8930000000002,4.906000000000002,3.0,7.0,10.0,32.0,3.0,97.4,,,,,,,,,,
27653258.0,CHEMBL5733991,CHEMBL5833583,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=C(C#N)C(O)c1cccc(Nc2nc(Nc3ccc(OCCOC)c(F)c3)ncc2F)c1,,,6.259637310505756,C=C(C#N)C(O)c1cccc(Nc2nc(Nc3ccc(OCCOC)c(F)c3)ncc2F)c1,453.44900000000024,4.380380000000002,3.0,8.0,10.0,33.0,3.0,112.32000000000001,,,,,,,,,,
27653288.0,CHEMBL5733991,CHEMBL5866027,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Cl)c(OC(C)(C)CO)c3)ncc2F)c1,,,6.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Cl)c(OC(C)(C)CO)c3)ncc2F)c1,471.9200000000002,5.0305000000000035,4.0,7.0,9.0,33.0,3.0,108.4,,,,,,,,,,
